Kamichu!, 489
Paniponi Dash!, 490
Armitage III: Dual-Matrix, 492
Armitage III: Poly-Matrix, 493
Bakuretsu Hunters, 495
Kamui no Ken, 496
Yami to Boushi to Hon no Tabibito, 497
Haja Taisei Dangaiou, 498
Makai Toshi Shinjuku, 499
Doraemon, 501
Dragon Ball Movie 1: Shen Long no Densetsu, 502
Eien no Aselia, 503
Garou Densetsu: The Motion Picture, 504
Fushigiboshi no☆Futagohime, 505
Glass no Kamen, 506
Gravitation: Lyrics of Love, 507
Soukyuu no Fafner: Dead Aggressor - Right of Left, 560
Sakura Taisen, 561
Sakura Taisen: Le Nouveau Paris, 562
DNA², 563
Puni Puni☆Poemii, 564
Steamboy, 565
Tetsuwan Birdy, 566
The Big O, 567
Bubblegum Crisis Tokyo 2040, 568
Musekinin Kanchou Tylor, 569
Jin-Rou, 570
Moldiver, 571
Kaze no Tani no Nausicaä, 572
Saber Marionette J, 573
Rean no Tsubasa, 574
Magikano, 576
Kagi Hime Monogatari: Eikyuu Alice Rondo, 577
Hotaru no Haka, 578
Battle Programmer Shirase, 579
Kogepan, 580
Honoo no Labyrinth, 581
Sexy Commando Gaiden: Sugoi yo!! Masaru-san, 582
Noein: Mou Hitori no Kimi e, 584
Mimi wo Sumaseba, 585
Ayakashi: Japanese Classic Horror, 586
Ichigo 100% Special 2, 641
Ichigo 100%: Koi ga Hajimaru?! Satsuei Gasshuku - Yureru Kokoro ga Higashi e Nishi e, 642
Hachimitsu to Clover Specials, 644
Hikaru no Go: Hokuto Hai e no Michi, 645
Haunted Junction, 646
Harukanaru Toki no Naka de: Ajisai Yumegatari, 647
Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary, 648
Hanaukyou Maid-tai: La Verite, 649
Gunsmith Cats, 650
Green Green Thirteen: Erolutions, 651
Galaxy Angel Z, 652
Galaxy Angel 3, 653
Galaxy Angel 3 Specials, 654
Galaxy Angel 4, 655
Air in Summer, 656
Touhai Densetsu Akagi: Yami ni Maiorita Tensai, 658
